time,expn,gene,gt,light,rep
24,0.322953131,PRR9,rve468,LL,rep2
27,0.648792544,PRR9,rve468,LL,rep2
30,2.178176753,PRR9,rve468,LL,rep2
33,2.545931857,PRR9,rve468,LL,rep2
36,2.54219079,PRR9,rve468,LL,rep2
39,1.666918943,PRR9,rve468,LL,rep2
42,0.709086627,PRR9,rve468,LL,rep2
45,0.469903077,PRR9,rve468,LL,rep2
48,0.55288638,PRR9,rve468,LL,rep2
51,0.568656595,PRR9,rve468,LL,rep2
54,0.81089182,PRR9,rve468,LL,rep2
57,0.947571353,PRR9,rve468,LL,rep2
24,0.292823869,PRR9,cca1lhyrve468,LL,rep2
27,0.917912377,PRR9,cca1lhyrve468,LL,rep2
30,1.014004592,PRR9,cca1lhyrve468,LL,rep2
33,0.529715121,PRR9,cca1lhyrve468,LL,rep2
36,0.235168894,PRR9,cca1lhyrve468,LL,rep2
39,0.375754949,PRR9,cca1lhyrve468,LL,rep2
42,0.356308569,PRR9,cca1lhyrve468,LL,rep2
45,0.343175961,PRR9,cca1lhyrve468,LL,rep2
48,0.413074522,PRR9,cca1lhyrve468,LL,rep2
51,0.538264941,PRR9,cca1lhyrve468,LL,rep2
54,0.55624584,PRR9,cca1lhyrve468,LL,rep2
57,0.479812917,PRR9,cca1lhyrve468,LL,rep2
24,0.78230048,PRR9,cca1lhy,LL,rep2
27,2.211213901,PRR9,cca1lhy,LL,rep2
30,0.759926078,PRR9,cca1lhy,LL,rep2
33,0.57410321,PRR9,cca1lhy,LL,rep2
36,0.56889835,PRR9,cca1lhy,LL,rep2
39,0.660792019,PRR9,cca1lhy,LL,rep2
42,0.924424886,PRR9,cca1lhy,LL,rep2
45,1.174875228,PRR9,cca1lhy,LL,rep2
48,0.954411988,PRR9,cca1lhy,LL,rep2
51,0.651048026,PRR9,cca1lhy,LL,rep2
54,0.562413799,PRR9,cca1lhy,LL,rep2
57,0.473699855,PRR9,cca1lhy,LL,rep2
